PLAY "Spielen"
SETTINGS "Optionen"
HIGHSCORES "Bestenlisten"
ACHIEVEMENTS "Errungenschaften"
CREDITS "Credits"
QUIT "Beenden"

ADJECTIVE_INFO "{1}{2}{3}"
A_ARTICLE "ein {1}"

ABANDON_GAME_CONFIRM "Möchtest du dein Spiel wirklich aufgeben? Dies ist endgültig und die Spielstanddatei wird gelöscht!"

ABOMINATIONS_UPGRADE_TYPE "Automaten"

ABSORB_MINION_BUTTON "Absorbieren"
ABSORB_TASK "{1} absorbieren"
ABUSE_TASK "{1} missbrauchen"

ACHIEVEMENT_EFFECT_DESCRIPTION "Schaltet eine Errungenschaft frei."
ACHIEVEMENT_EFFECT_NAME "Errungenschaft freischalten"

ADD_CONSUMABLE "Verbrauchsgegenstand hinzufügen"
ADD_DUNGEON "Hinzufügen"
ADD_EXPERIENCE_DESCRIPTION "Erhöht die Kampferfahrung der Kreatur"
ADD_EXPERIENCE_NAME "Kampferfahrung"
ADD_RETIRED_DUNGEONS "Ausgemusterte Verliese hinzufügen"
ADD_TO_TEAM_ACTION "Dem Team hinzufügen"

ADVENTURER "Abenteurer"

AGGRAVATED_TRIGGER "Aggressivität durch Untergebene"
AGGRAVATES_ENEMIES "{1} reizt die Feinde"

AI_AFRAID_OF "KI fürchtet sich vor"

AIR_BLAST_EFFECT_DESCRIPTION "Erzeugt einen gezielten Luftstoß, der Kreaturen und Gegenstände wegstößt."
AIR_BLAST_EFFECT_NAME "Luftstoß"

ALARM_EFFECT_DESCRIPTION "Löst einen Alarm aus oder alarmiert nahe Kreaturen"
ALARM_EFFECT_NAME "Alarm"

ALL_CREATURES "alle Kreaturen"
ALLIED_MAGICAL_FIELD_HIGHLIGHT "Verbündetes magisches Feld"
ALLIES "Verbündete"
ALL_VILLAINS "Alle Schurken"
ALLY_DOESNT_EXIST "Der Verbündete existiert nicht"

A_MINION_BECOMES_PREGNANT "Ein Untergebener wird schwanger"

AMULET_OF "Amulett des {1}"
"Amulette des {1}" : plural

ANALYTICS_EFFECT_DESCRIPTION "Löst ein Analyse-/Logging-Ereignis aus"
ANALYTICS_EFFECT_NAME "Analytik"

ANIMAL_PEN_MUST_BE_SEPARATE_HIGHLIGHT "Der Tierstall muss mit einem Tierzaun vom Äußeren und von allen Treppen getrennt sein"

ANIMATE_CORPSES_EFFECT_DESCRIPTION "Belebt bis zu {1} Leichen in der Umgebung wieder."
ANIMATE_CORPSES_EFFECT_NAME "Leichen wiederbeleben"

ANIMATED_OBJECT "Belebter {1}"

ANIMATE_WEAPONS_EFFECT_DESCRIPTION "Belebt bis zu {1} Waffen in der Umgebung wieder."
ANIMATE_WEAPONS_EFFECT_NAME "Waffen wiederbeleben"

ANIMATE_SMALL_ITEMS_EFFECT_DESCRIPTION "Belebt bis zu {1} kleine Gegenstände in der Umgebung wieder."
ANIMATE_SMALL_ITEMS_EFFECT_NAME "kleine Gegenstände wiederbeleben"

ANIMATE_MEDIUM_ITEMS_EFFECT_DESCRIPTION "Belebt bis zu {1} mittelgroße Gegenstände in der Umgebung wieder."
ANIMATE_MEDIUM_ITEMS_EFFECT_NAME "mittelgroße Gegenstände wiederbeleben"

ANIMATE_FURNITURE_EFFECT_DESCRIPTION "Belebt bis zu {1} Möbelstücke in der Umgebung wieder."
ANIMATE_FURNITURE_EFFECT_NAME "Möbel wiederbeleben"

ANIMATE_WALLS_EFFECT_DESCRIPTION "Belebt bis zu {1} Wände aus Möbeln in der Umgebung wieder."
ANIMATE_WALLS_EFFECT_NAME "Wände wiederbeleben"

APPEARS "{1} erscheint aus dem Nichts!"

APPLYING_ITEM_TAKES_X_TURNS "Das Anwenden von {1} dauert {2} Züge. Bist du sicher, dass du fortfahren möchtest?"

ARCHERY_RANGE_TASK "Auf dem Schießstand schießen"

ARM_BODY_PART "Arm"
"Arme" : plural

ARMOR_DEGRADATION_DESCRIPTION "Verringert die Kapazität der Rüstung"
ARMOR_DEGRADATION_NAME "Rüstungsverschleiß"

ARMOR_ENCHANTMENT_DESCRIPTION "Erhöht die Kapazität der Rüstung"
ARMOR_ENCHANTMENT_NAME "Rüstungsverzauberung"

ARMOR_UPGRADE_TYPE "Rüstung"

